,DateTime,Temperature,Humidity,Wind Speed,general diffuse flows,diffuse flows,Zone 1 Power Consumption,Zone 2 Power Consumption,Zone 3 Power Consumption
0,1/1/2017 0:00,44,73.8,0,0.051,0.119,34055.6962,16128.87538,20240.96386
1,1/1/2017 0:10,44,74.5,0,0.07,0.085,29814.68354,19375.07599,20131.08434
2,1/1/2017 0:20,43,74.5,0,0.062,0.1,29128.10127,19006.68693,19668.43373
3,1/1/2017 0:30,43,75.0,0,0.091,0.096,28228.86076,18361.09422,18899.27711
4,1/1/2017 0:40,43,75.7,0,0.048,0.085,27335.6962,17872.34043,18442.40964
5,1/1/2017 0:50,43,76.9,0,0.059,0.108,26624.81013,17416.41337,18130.12048
6,1/1/2017 1:00,42,77.7,0,0.048,0.096,25998.98734,16993.31307,17945.06024
7,1/1/2017 1:10,42,78.2,0,0.055,0.093,25446.07595,16661.39818,17459.27711
8,1/1/2017 1:20,42,78.1,0,0.066,0.141,24777.72152,16227.35562,17025.54217
9,1/1/2017 1:30,42,77.3,0,0.062,0.111,24279.49367,15939.20973,16794.21687
10,1/1/2017 1:40,42,77.5,0,0.051,0.108,23896.70886,15435.86626,16638.07229
11,1/1/2017 1:50,42,76.7,0,0.059,0.126,23544.3038,15213.37386,16395.18072
12,1/1/2017 2:00,41,78.6,0,0.07,0.096,23003.5443,15169.60486,16117.59036
13,1/1/2017 2:10,41,78.8,0,0.07,0.134,22329.11392,14710.0304,15822.6506
14,1/1/2017 2:20,41,78.9,0,0.055,0.152,22092.1519,14421.8845,15672.28916
15,1/1/2017 2:30,41,79.1,0,0.07,0.096,21903.79747,14104.55927,15597.10843
16,1/1/2017 2:40,41,79.7,0,0.051,0.134,21685.06329,13965.95745,15510.36145
17,1/1/2017 2:50,42,78.5,0,0.062,0.163,21484.55696,13612.15805,15336.86747
18,1/1/2017 3:00,41,77.9,0,0.066,0.108,21107.8481,13535.56231,15140.24096
19,1/1/2017 3:10,41,77.7,0,0.051,0.13,20998.48101,13371.42857,15059.27711
20,1/1/2017 3:20,41,77.2,0,0.062,0.152,20870.88608,13196.35258,15013.01205
21,1/1/2017 3:30,41,76.9,0,0.051,0.185,20870.88608,13167.17325,14897.3494
22,1/1/2017 3:40,41,76.6,0,0.07,0.137,20597.46835,13137.99392,14602.40964
23,1/1/2017 3:50,41,76.2,0,0.059,0.134,20421.26582,12908.20669,14590.84337
24,1/1/2017 4:00,41,75.7,0,0.044,0.134,20524.55696,12820.66869,14585.06024
25,1/1/2017 4:10,41,74.4,0,0.07,0.122,20482.02532,13032.21884,14452.04819
26,1/1/2017 4:20,41,74.1,0,0.062,0.096,20530.63291,12926.44377,14232.28916
27,1/1/2017 4:30,42,71.9,0,0.073,0.1,20512.40506,12948.32827,14157.10843
28,1/1/2017 4:40,41,74.0,0,0.062,0.148,20494.17722,12922.79635,14232.28916
29,1/1/2017 4:50,41,74.2,0,0.037,0.137,20311.89873,12879.02736,14243.85542
30,1/1/2017 5:00,41,72.9,0,0.055,0.134,20542.78481,12806.07903,14243.85542
31,1/1/2017 5:10,40,75.8,0,0.051,0.152,20621.77215,12853.49544,14105.06024
32,1/1/2017 5:20,42,74.0,0,0.055,0.093,20627.8481,12842.55319,14266.98795
33,1/1/2017 5:30,40,73.5,0,0.044,0.104,20797.97468,13137.99392,14353.73494
34,1/1/2017 5:40,40,76.9,0,0.073,0.148,20858.73418,13203.64742,14538.79518
35,1/1/2017 5:50,40,78.3,0,0.117,0.082,21393.41772,13575.68389,14862.6506
36,1/1/2017 6:00,40,77.2,0,0.062,0.126,22219.74684,14068.08511,14908.91566
37,1/1/2017 6:10,41,74.3,0,0.04,0.156,21928.10127,13852.88754,14729.63855
38,1/1/2017 6:20,41,75.6,0,0.099,0.063,21776.20253,13626.74772,14625.54217
39,1/1/2017 6:30,41,73.7,0,0.099,0.096,21654.68354,13582.97872,14480.96386
40,1/1/2017 6:40,40,76.7,0,0.037,0.119,21466.32911,13539.20973,14319.03614
41,1/1/2017 6:50,40,77.0,0,0.033,0.193,20846.58228,12908.20669,14018.31325
42,1/1/2017 7:00,40,76.0,0,0.048,0.152,19983.79747,12342.85714,13492.04819
43,1/1/2017 7:10,40,74.6,0,0.055,0.134,18908.35443,11897.87234,12630.36145
44,1/1/2017 7:20,40,74.3,0,0.081,0.119,18167.08861,11551.36778,11600.96386
45,1/1/2017 7:30,40,72.3,0,0.07,0.119,18075.94937,11263.22188,10640.96386
46,1/1/2017 7:40,40,72.2,0,0.073,0.089,18063.79747,10719.75684,10455.90361
47,1/1/2017 7:50,40,71.0,0,0.066,0.104,18045.56962,10924.01216,10496.38554
48,1/1/2017 8:00,41,72.0,0,0.187,0.145,18385.82278,10949.54407,10710.36145
49,1/1/2017 8:10,41,73.1,0,0.955,0.949,18987.34177,11347.11246,10837.59036
50,1/1/2017 8:20,41,73.5,0,3.188,3.134,19576.70886,11733.7386,10941.68675
51,1/1/2017 8:30,40,74.5,0,6.643,6.494,19837.97468,11945.28875,11178.79518
52,1/1/2017 8:40,40,74.8,0,12.64,10.13,20166.07595,12029.17933,11514.21687
53,1/1/2017 8:50,40,73.7,0,58.97,17.0,20676.4557,12426.74772,11959.51807
54,1/1/2017 9:00,40,71.8,0,82.5,20.15,21296.20253,12871.73252,12283.37349
55,1/1/2017 9:10,40,74.1,0,106.9,22.55,22043.5443,13203.64742,12427.95181
56,1/1/2017 9:20,40,74.8,0,132.1,24.3,22651.13924,13542.85714,12826.98795
57,1/1/2017 9:30,40,74.0,0,156.1,26.9,23131.13924,14046.20061,13121.92771
58,1/1/2017 9:40,40,74.7,0,182.4,28.19,23641.51899,14392.70517,13648.19277
59,1/1/2017 9:50,40,74.5,0,208.8,29.2,24668.35443,14830.39514,13850.60241
60,1/1/2017 10:00,41,73.7,0,234.8,29.23,25275.94937,15238.90578,14162.89157
61,1/1/2017 10:10,43,71.3,2,257.9,31.01,25920.0,15837.08207,14428.91566
62,1/1/2017 10:20,43,69.85,3,282.7,31.96,26393.92405,16059.57447,14671.80723
63,1/1/2017 10:30,43,68.81,3,307.0,32.42,26861.77215,16322.18845,15036.14458
64,1/1/2017 10:40,44,68.01,3,327.6,33.22,27511.89873,16774.46809,15267.46988
65,1/1/2017 10:50,45,66.14,3,349.6,33.41,28149.87342,17164.74164,15244.33735
66,1/1/2017 11:00,46,64.21,3,371.1,33.43,28714.93671,17507.59878,15591.3253
67,1/1/2017 11:10,47,61.9,3,388.2,33.89,29043.03797,17478.41945,15816.86747
68,1/1/2017 11:20,49,59.3,2,401.3,34.4,29261.77215,17792.09726,15932.53012
69,1/1/2017 11:30,51,56.03,0,419.5,35.29,29474.43038,17748.32827,16053.9759
70,1/1/2017 11:40,52,53.52,0,430.9,37.58,29523.03797,17963.52584,16256.38554
71,1/1/2017 11:50,54,53.26,0,437.5,43.46,29711.39241,18142.24924,16354.6988
72,1/1/2017 12:00,56,54.36,0,450.4,43.2,29644.55696,18131.30699,16562.89157
73,1/1/2017 12:10,58,54.42,0,470.5,37.92,29802.53165,18102.12766,16522.40964
74,1/1/2017 12:20,59,56.46,0,480.0,38.81,29887.59494,18156.83891,16649.63855
75,1/1/2017 12:30,60,58.7,0,486.1,39.46,30039.49367,18335.56231,16869.39759
76,1/1/2017 12:40,60,59.23,0,490.2,40.92,29966.58228,18204.25532,17094.93976
77,1/1/2017 12:50,60,59.3,0,495.9,40.9,29996.96203,18196.96049,17418.79518
78,1/1/2017 13:00,60,58.06,0,498.1,40.94,30258.22785,18466.8693,17413.01205
79,1/1/2017 13:10,60,58.7,0,498.1,42.75,30404.05063,18350.15198,17436.14458
80,1/1/2017 13:20,60,59.33,0,498.8,44.65,30094.17722,18331.91489,17332.04819
81,1/1/2017 13:30,60,58.6,0,497.0,44.26,30161.01266,18419.45289,17465.06024
82,1/1/2017 13:40,60,55.29,0,489.2,39.32,30318.98734,18310.0304,17164.33735
83,1/1/2017 13:50,60,52.45,0,482.4,38.65,30154.93671,18390.27356,16979.27711
84,1/1/2017 14:00,60,54.99,0,476.1,39.49,29984.81013,18353.79939,17054.45783
85,1/1/2017 14:10,60,56.66,0,467.7,39.94,30021.26582,18142.24924,17048.6747
86,1/1/2017 14:20,60,55.86,0,456.1,39.95,30021.26582,18113.06991,16950.36145
87,1/1/2017 14:30,60,54.06,0,449.2,41.52,29911.89873,18036.47416,16823.13253
88,1/1/2017 14:40,60,55.56,0,437.4,44.13,29747.8481,17996.35258,16684.33735
89,1/1/2017 14:50,60,56.69,0,422.0,43.87,29705.31646,17952.58359,16678.55422
90,1/1/2017 15:00,60,57.26,0,409.0,44.9,29571.64557,17894.22492,16753.73494
91,1/1/2017 15:10,60,57.96,0,391.8,46.89,29553.41772,17846.80851,16805.78313
92,1/1/2017 15:20,60,58.93,0,369.4,51.51,29383.29114,17525.83587,16649.63855
93,1/1/2017 15:30,60,58.7,0,321.0,57.14,29061.26582,17547.72036,16586.0241
94,1/1/2017 15:40,60,57.6,0,180.3,60.31,28885.06329,17770.21277,16476.14458
95,1/1/2017 15:50,60,58.7,0,149.5,67.85,28854.68354,17751.97568,16296.86747
96,1/1/2017 16:00,60,59.23,0,209.1,128.9,28836.4557,17646.20061,16256.38554
97,1/1/2017 16:10,60,57.46,0,265.1,219.1,28708.86076,17514.89362,16250.60241
98,1/1/2017 16:20,60,58.3,0,241.3,246.0,28556.96203,17325.22796,16192.77108
99,1/1/2017 16:30,60,58.8,0,219.0,248.1,28514.43038,17456.53495,16343.13253
100,1/1/2017 16:40,60,57.73,0,195.7,231.6,28666.32911,17449.24012,16522.40964
101,1/1/2017 16:50,60,58.23,0,174.9,211.9,29097.72152,17627.96353,16765.3012
