,date,time,temp,hum,wind,condition
0,3/24/2022,11:00 PM,59,88,12,Mostly Cloudy
1,3/24/2022,12:00 AM,59,88,7,Fair
2,3/24/2022,1:00 AM,59,88,6,Fair
3,3/24/2022,2:00 AM,59,88,5,Fair
4,3/24/2022,3:00 AM,55,100,7,Fair
5,3/24/2022,4:00 AM,55,94,7,Fair
6,3/24/2022,5:00 AM,54,100,5,Partly Cloudy
7,3/24/2022,6:00 AM,54,100,7,Partly Cloudy
8,3/24/2022,7:00 AM,55,100,7,Partly Cloudy
9,3/24/2022,8:00 AM,59,82,10,Partly Cloudy
10,3/24/2022,9:00 AM,59,82,14,Partly Cloudy
11,3/24/2022,10:00 AM,64,52,18,Partly Cloudy
12,3/24/2022,11:00 AM,68,43,17,Partly Cloudy
13,3/24/2022,12:00 PM,68,43,16,Partly Cloudy
14,3/24/2022,1:00 PM,68,43,17,Partly Cloudy
15,3/24/2022,2:00 PM,68,40,16,Partly Cloudy
16,5/8/2022,12:00 AM,66,100,12,Fair
17,5/8/2022,1:00 AM,64,100,12,Fair
18,6/9/2022,11:00 PM,68,100,22,Mostly Cloudy / Windy
19,6/9/2022,12:00 AM,68,100,21,Mostly Cloudy / Windy
20,6/9/2022,1:00 AM,68,100,17,Fair
21,6/9/2022,2:00 AM,66,100,16,Mostly Cloudy
22,6/9/2022,3:00 AM,68,100,20,Mostly Cloudy
23,6/9/2022,4:00 AM,68,100,23,Cloudy / Windy
24,6/9/2022,5:00 AM,68,100,24,Cloudy / Windy
25,6/9/2022,6:00 AM,68,100,21,Cloudy / Windy
26,6/9/2022,7:00 AM,68,100,20,Mostly Cloudy
27,6/9/2022,8:00 AM,70,100,20,Cloudy
28,6/9/2022,9:00 AM,72,94,22,Cloudy / Windy
29,6/9/2022,10:00 AM,75,83,20,Mostly Cloudy
30,6/9/2022,11:00 AM,79,65,21,Fair / Windy
31,6/9/2022,12:00 PM,82,54,21,Fair / Windy
32,6/9/2022,1:00 PM,82,54,24,Fair / Windy
33,6/9/2022,2:00 PM,82,51,24,Fair / Windy
34,6/9/2022,3:00 PM,82,51,25,Fair / Windy
35,6/9/2022,4:00 PM,82,54,26,Fair / Windy
