,date,time,temp,hum,wind,condition
0,2/26/2022,11:00 PM,61,100,7,Fair
1,2/26/2022,12:00 AM,59,100,8,Fair
2,2/26/2022,1:00 AM,59,100,8,Fair
3,2/26/2022,2:00 AM,59,100,7,Fair
4,2/26/2022,4:00 AM,57,100,7,Fair
5,2/26/2022,5:00 AM,57,100,6,Fair
6,2/26/2022,6:00 AM,57,100,3,Partly Cloudy
7,2/26/2022,7:00 AM,57,100,5,Mostly Cloudy
8,2/26/2022,8:00 AM,61,100,7,Partly Cloudy
9,2/26/2022,9:00 AM,63,100,9,Partly Cloudy
10,2/26/2022,10:00 AM,66,83,12,Partly Cloudy
11,2/26/2022,11:00 AM,70,68,14,Partly Cloudy
12,2/26/2022,12:00 PM,68,73,14,Partly Cloudy
13,2/26/2022,1:00 PM,72,60,13,Partly Cloudy
14,2/26/2022,2:00 PM,72,60,22,Partly Cloudy / Windy
15,2/26/2022,3:00 PM,70,64,21,Mostly Cloudy / Windy
16,2/26/2022,4:00 PM,70,64,21,Mostly Cloudy / Windy
17,2/26/2022,5:00 PM,68,73,20,Partly Cloudy
18,2/26/2022,6:00 PM,66,73,20,Partly Cloudy
19,2/26/2022,7:00 PM,64,77,20,Partly Cloudy
20,2/26/2022,8:00 PM,64,88,21,Mostly Cloudy / Windy
21,2/26/2022,9:00 PM,63,94,16,Mostly Cloudy
22,2/26/2022,10:00 PM,63,100,18,Mostly Cloudy
23,2/12/2022,11:00 PM,68,30,7,Fair
24,2/12/2022,12:00 AM,66,32,9,Fair
25,2/12/2022,1:00 AM,63,37,7,Fair
26,2/12/2022,2:00 AM,63,37,9,Fair
27,2/12/2022,3:00 AM,61,45,9,Fair
28,2/12/2022,4:00 AM,59,63,12,Fair
29,2/12/2022,5:00 AM,59,77,7,Fair
30,2/12/2022,6:00 AM,57,94,12,Fair
31,2/12/2022,7:00 AM,57,100,12,Fair
32,2/12/2022,8:00 AM,57,0,8,Fair
33,2/12/2022,9:00 AM,59,94,6,Fog
34,2/12/2022,9:35 AM,61,94,7,Fog
35,2/12/2022,9:48 AM,61,94,9,Partly Cloudy
36,2/12/2022,10:00 AM,63,94,10,Partly Cloudy
37,2/12/2022,11:00 AM,66,78,14,Fair
38,2/12/2022,12:00 PM,72,46,18,Fair
39,2/12/2022,1:00 PM,73,38,13,Fair
40,2/12/2022,2:00 PM,73,50,16,Fair
41,2/12/2022,3:00 PM,73,50,22,Fair / Windy
42,2/12/2022,4:00 PM,72,53,22,Fair / Windy
43,2/12/2022,5:00 PM,72,43,17,Fair
44,2/12/2022,6:00 PM,70,49,17,Fair
45,2/12/2022,7:00 PM,66,60,13,Fair
46,2/12/2022,8:00 PM,64,77,14,Fair
47,2/13/2022,11:00 PM,61,94,12,Fair
48,2/13/2022,12:00 AM,61,94,10,Partly Cloudy
49,2/13/2022,1:00 AM,59,100,12,Fair
50,2/13/2022,2:00 AM,59,0,9,Fair
51,2/13/2022,3:00 AM,59,0,7,Fair
52,2/13/2022,4:00 AM,59,0,8,Mostly Cloudy
53,2/13/2022,5:00 AM,59,0,8,Mostly Cloudy
54,2/13/2022,6:00 AM,59,0,8,Mostly Cloudy
55,2/13/2022,7:00 AM,59,0,7,Mostly Cloudy
56,2/13/2022,8:00 AM,61,100,7,Mostly Cloudy
57,2/13/2022,9:00 AM,61,100,9,Partly Cloudy
58,2/13/2022,10:00 AM,57,0,14,Mostly Cloudy
59,2/13/2022,11:00 AM,66,78,12,Partly Cloudy
60,2/13/2022,12:00 PM,70,64,13,Fair
61,2/13/2022,1:00 PM,72,50,13,Fair
62,2/13/2022,2:00 PM,75,36,13,Fair
63,2/13/2022,3:00 PM,75,34,7,Fair
64,2/13/2022,4:00 PM,77,29,13,Fair
65,2/13/2022,5:00 PM,75,36,17,Fair
66,2/13/2022,6:00 PM,72,43,20,Fair
67,2/13/2022,7:00 PM,70,53,16,Fair
68,2/13/2022,8:00 PM,66,68,17,Fair
69,2/13/2022,9:00 PM,64,88,17,Fair
70,2/13/2022,10:00 PM,63,94,20,Fair
71,2/22/2022,11:00 PM,59,0,12,Fair
72,2/22/2022,12:00 AM,59,0,8,Partly Cloudy
73,2/22/2022,1:00 AM,59,0,12,Partly Cloudy
74,2/22/2022,2:00 AM,59,0,8,Partly Cloudy
75,2/22/2022,3:00 AM,59,0,7,Partly Cloudy
76,2/22/2022,4:00 AM,57,0,6,Partly Cloudy
77,2/22/2022,5:00 AM,59,0,9,Mostly Cloudy
78,2/22/2022,6:00 AM,59,0,8,Partly Cloudy
79,2/22/2022,7:00 AM,59,0,6,Mostly Cloudy
80,2/22/2022,8:00 AM,61,100,7,Fog
81,2/22/2022,9:00 AM,61,100,10,Fog
82,2/22/2022,10:00 AM,63,100,10,Partly Cloudy
83,2/22/2022,11:00 AM,66,88,8,Fair
84,2/22/2022,12:00 PM,72,57,7,Fair
85,2/22/2022,1:00 PM,79,32,14,Fair
86,2/22/2022,2:00 PM,82,26,14,Fair
87,2/22/2022,4:00 PM,77,47,16,Fair
88,2/22/2022,5:00 PM,72,60,14,Fair
89,2/22/2022,6:00 PM,73,50,14,Fair
90,2/22/2022,7:00 PM,72,57,7,Fair
91,2/22/2022,8:00 PM,66,94,10,Fair
92,2/22/2022,9:00 PM,66,100,5,Fair
93,2/22/2022,10:00 PM,64,100,5,Fair
94,3/2/2022,11:00 PM,63,100,17,Partly Cloudy
95,3/2/2022,12:00 AM,63,100,18,Partly Cloudy
96,3/2/2022,1:00 AM,63,100,22,Partly Cloudy / Windy
97,3/2/2022,2:00 AM,61,100,23,Fair / Windy
98,3/2/2022,3:00 AM,61,100,20,Fair
99,3/2/2022,4:00 AM,59,100,15,Fair
100,3/2/2022,5:00 AM,59,100,14,Fair
101,3/2/2022,6:00 AM,63,100,14,Fair
102,3/2/2022,7:00 AM,57,100,12,Fair
103,3/2/2022,8:00 AM,59,100,9,Fair
104,3/2/2022,9:00 AM,61,100,12,Mostly Cloudy
105,3/2/2022,10:00 AM,64,83,21,Mostly Cloudy / Windy
106,3/2/2022,11:00 AM,68,73,20,Fair
107,3/2/2022,12:00 PM,72,53,21,Fair / Windy
108,3/2/2022,1:00 PM,73,44,18,Fair
109,3/2/2022,2:00 PM,75,38,18,Fair
110,3/2/2022,3:00 PM,75,38,21,Fair / Windy
111,3/2/2022,4:00 PM,75,38,21,Fair / Windy
112,3/2/2022,5:00 PM,72,43,20,Fair
113,3/2/2022,6:00 PM,70,49,23,Fair / Windy
114,3/2/2022,7:00 PM,64,68,18,Fair
115,3/2/2022,8:00 PM,63,77,16,Fair
116,3/2/2022,9:00 PM,61,88,18,Fair
117,3/2/2022,10:00 PM,61,88,16,Fair
118,3/4/2022,11:00 PM,59,94,7,Partly Cloudy
119,3/4/2022,12:00 AM,59,100,12,Fair
120,3/4/2022,1:00 AM,59,100,12,Partly Cloudy
121,3/4/2022,2:00 AM,59,100,12,Partly Cloudy
122,3/4/2022,3:00 AM,59,100,9,Mostly Cloudy
123,3/4/2022,4:00 AM,59,100,9,Mostly Cloudy
124,3/4/2022,5:00 AM,59,100,9,Partly Cloudy
125,3/4/2022,6:00 AM,57,100,12,Partly Cloudy
126,3/4/2022,7:00 AM,59,100,12,Mostly Cloudy
127,3/4/2022,8:00 AM,59,100,10,Partly Cloudy
128,3/4/2022,9:00 AM,63,100,20,Partly Cloudy
129,3/4/2022,10:00 AM,64,88,23,Partly Cloudy / Windy
130,3/4/2022,11:00 AM,70,53,25,Mostly Cloudy / Windy
131,3/4/2022,12:00 PM,68,52,28,Mostly Cloudy / Windy
132,3/4/2022,1:00 PM,72,43,24,Partly Cloudy / Windy
133,3/4/2022,2:00 PM,72,43,28,Partly Cloudy / Windy
134,3/4/2022,3:00 PM,70,43,28,Partly Cloudy / Windy
135,3/4/2022,4:00 PM,70,43,26,Partly Cloudy / Windy
136,3/4/2022,5:00 PM,66,49,26,Partly Cloudy / Windy
137,3/4/2022,6:00 PM,66,49,28,Mostly Cloudy / Windy
138,3/4/2022,7:00 PM,63,59,23,Mostly Cloudy / Windy
139,3/4/2022,8:00 PM,63,59,25,Mostly Cloudy / Windy
140,3/4/2022,9:00 PM,63,59,23,Mostly Cloudy / Windy
141,3/4/2022,10:00 PM,63,55,25,Mostly Cloudy / Windy
142,3/5/2022,11:00 PM,63,59,22,Mostly Cloudy / Windy
143,3/5/2022,12:00 AM,61,77,21,Mostly Cloudy / Windy
144,3/5/2022,1:00 AM,61,72,22,Partly Cloudy / Windy
145,3/5/2022,2:00 AM,61,72,22,Partly Cloudy / Windy
146,3/5/2022,3:00 AM,61,72,22,Partly Cloudy / Windy
147,3/5/2022,4:00 AM,61,72,22,Partly Cloudy / Windy
148,3/5/2022,5:00 AM,61,72,22,Partly Cloudy / Windy
149,3/5/2022,6:00 AM,61,72,22,Mostly Cloudy / Windy
150,3/5/2022,7:00 AM,61,72,22,Mostly Cloudy / Windy
151,3/5/2022,8:00 AM,61,72,23,Cloudy / Windy
152,3/5/2022,9:00 AM,61,72,23,Cloudy / Windy
153,3/5/2022,9:15 AM,63,55,25,Sand / Windy
154,3/5/2022,9:51 AM,64,52,33,Mostly Cloudy / Windy
155,3/5/2022,10:00 AM,64,52,33,Mostly Cloudy / Windy
156,3/5/2022,10:45 AM,66,46,32,Sandstorm / Windy
157,3/5/2022,11:00 AM,66,46,37,Sandstorm / Windy
158,3/5/2022,11:12 AM,66,46,30,Sand / Windy
159,3/5/2022,12:00 PM,68,46,30,Sand / Windy
160,3/5/2022,1:00 PM,70,43,30,Sand / Windy
161,3/5/2022,2:00 PM,70,43,30,Sand / Windy
162,3/5/2022,3:00 PM,70,40,31,Sand / Windy
163,3/5/2022,3:40 PM,70,43,28,Partly Cloudy / Windy
164,3/5/2022,4:00 PM,70,43,28,Partly Cloudy / Windy
165,3/5/2022,5:00 PM,68,43,30,Fair / Windy
166,7/31/2022,11:00 PM,73,100,21,Mostly Cloudy / Windy
167,7/31/2022,12:00 AM,73,100,21,Fair / Windy
168,7/31/2022,1:00 AM,73,100,22,Mostly Cloudy / Windy
169,7/31/2022,2:00 AM,72,100,18,Cloudy
170,7/31/2022,3:00 AM,72,100,20,Mostly Cloudy
171,7/31/2022,4:00 AM,72,100,17,Mostly Cloudy
172,7/31/2022,5:00 AM,72,100,18,Mostly Cloudy
173,7/31/2022,6:00 AM,72,100,18,Mostly Cloudy
174,7/31/2022,7:00 AM,72,100,17,Mostly Cloudy
175,7/31/2022,8:00 AM,73,100,17,Cloudy
176,7/31/2022,9:00 AM,73,100,18,Cloudy
177,7/31/2022,10:00 AM,75,100,16,Mostly Cloudy
178,7/31/2022,10:15 AM,77,100,17,Mostly Cloudy
179,7/31/2022,11:00 AM,81,89,16,Fair
180,7/31/2022,12:00 PM,84,70,18,Fair
181,7/31/2022,1:00 PM,86,58,15,Fair
182,7/31/2022,2:00 PM,90,52,15,Fair
183,7/31/2022,3:00 PM,88,55,17,Fair
184,7/31/2022,4:00 PM,86,58,20,Fair
185,7/31/2022,5:00 PM,84,62,20,Fair
186,7/31/2022,6:00 PM,81,65,23,Fair / Windy
187,7/31/2022,7:00 PM,77,74,20,Fair
188,7/31/2022,8:00 PM,75,100,25,Fair / Windy
189,7/31/2022,9:00 PM,73,100,21,Partly Cloudy / Windy
190,10/29/2022,11:00 PM,75,27,7,Fair
191,10/29/2022,12:00 AM,61,52,9,Fair
192,10/29/2022,1:00 AM,73,38,8,Fair
193,10/29/2022,3:00 AM,73,25,9,Fair
194,10/29/2022,4:00 AM,75,22,10,Fair
195,10/29/2022,5:00 AM,72,27,9,Fair
196,10/29/2022,6:00 AM,72,23,8,Fair
197,10/29/2022,7:00 AM,72,22,8,Fair
198,10/29/2022,8:00 AM,93,10,12,Fair
199,10/29/2022,9:00 AM,82,14,9,Fair
200,10/29/2022,10:00 AM,88,10,12,Fair
201,10/29/2022,11:00 AM,90,10,12,Fair
202,10/29/2022,12:00 PM,93,8,14,Fair
203,10/29/2022,1:00 PM,97,7,10,Fair
204,10/29/2022,2:00 PM,99,6,13,Fair
205,10/29/2022,3:00 PM,97,8,12,Fair
206,10/29/2022,4:00 PM,95,9,12,Fair
207,10/29/2022,5:00 PM,91,10,10,Fair
208,10/29/2022,6:00 PM,84,18,9,Fair
209,10/29/2022,7:00 PM,82,21,6,Fair
210,10/29/2022,8:00 PM,81,26,8,Fair
211,10/29/2022,9:00 PM,77,28,7,Fair
212,10/29/2022,10:00 PM,75,27,7,Fair
213,12/9/2022,11:00 PM,70,100,9,Mostly Cloudy
214,12/9/2022,12:00 AM,68,100,9,Mostly Cloudy
215,12/9/2022,1:00 AM,68,100,12,Fog
216,12/9/2022,2:00 AM,68,100,9,Mostly Cloudy
217,12/9/2022,3:00 AM,68,100,9,Mostly Cloudy
218,12/9/2022,4:00 AM,68,100,9,Mostly Cloudy
219,12/9/2022,5:00 AM,68,100,9,Cloudy
220,12/9/2022,6:00 AM,68,100,9,Cloudy
221,12/9/2022,7:00 AM,68,100,7,Mostly Cloudy
222,12/9/2022,7:20 AM,68,100,6,Fog
223,12/9/2022,7:32 AM,68,100,7,Fog
224,12/9/2022,8:00 AM,68,100,5,Fog
225,12/9/2022,8:35 AM,68,100,5,Fog
226,12/9/2022,9:00 AM,70,100,7,Fog
227,12/9/2022,9:15 AM,70,100,8,Partly Cloudy
228,12/9/2022,10:00 AM,72,100,9,Partly Cloudy
229,12/9/2022,11:00 AM,73,100,12,Partly Cloudy
230,12/9/2022,12:00 PM,75,100,9,Mostly Cloudy
231,12/9/2022,1:00 PM,75,89,10,Mostly Cloudy
232,12/9/2022,2:00 PM,75,83,12,Mostly Cloudy
233,12/9/2022,3:00 PM,75,89,10,Mostly Cloudy
234,12/9/2022,4:00 PM,73,100,8,Mostly Cloudy
235,12/9/2022,5:00 PM,73,100,8,Mostly Cloudy
236,12/9/2022,6:00 PM,72,88,8,Mostly Cloudy
