,date,time,temp,hum,wind,condition
0,1/8/2022,12:00 AM,59,100,18,Partly Cloudy
1,1/8/2022,1:00 AM,59,100,23,Partly Cloudy / Windy
2,1/8/2022,2:00 AM,59,100,18,Partly Cloudy
3,1/8/2022,3:00 AM,57,100,18,Partly Cloudy
4,1/8/2022,4:00 AM,57,100,14,Partly Cloudy
5,1/8/2022,5:00 AM,57,100,14,Partly Cloudy
6,1/8/2022,6:00 AM,55,100,14,Partly Cloudy
7,1/8/2022,7:00 AM,55,100,12,Fog
8,1/8/2022,8:00 AM,54,100,12,Fog
9,1/8/2022,8:10 AM,54,100,13,Fog
10,1/8/2022,8:30 AM,54,100,13,Fog
11,1/8/2022,9:00 AM,52,100,13,Partly Cloudy
12,1/8/2022,9:22 AM,54,100,12,Fair
13,1/8/2022,1000 AM,54,94,12,Fair
14,1/8/2022,11:00 AM,59,55,10,Fair
15,1/8/2022,12:00 PM,64,37,13,Fair
16,1/8/2022,1:00 PM,68,28,17,Fair
17,1/8/2022,2:00 PM,75,11,14,Fair
18,1/8/2022,2:10 PM,79,15,23,Sand / Windy
19,1/8/2022,3:00 PM,79,14,22,Fair / Windy
20,1/8/2022,5:00 PM,79,13,20,Sand
21,1/8/2022,6:00 PM,79,11,17,Fair
22,1/8/2022,7:00 PM,77,12,13,Fair
23,1/8/2022,8:00 PM,75,13,9,Fair
24,1/8/2022,9:00 PM,73,14,9,Fair
25,1/8/2022,1000 PM,72,15,9,Fair
26,1/8/2022,11:00 PM,68,17,9,Fair
27,1/12/2022,12:00 AM,59,100,16,Fair
28,1/12/2022,1:00 AM,57,100,17,Fair
29,1/12/2022,2:00 AM,57,100,14,Fair
30,1/12/2022,3:00 AM,55,100,14,Fair
31,1/12/2022,5:00 AM,54,100,7,Fair
32,1/12/2022,6:00 AM,52,100,7,Fog
33,1/12/2022,7:00 AM,54,100,9,Fog
34,1/12/2022,8:00 AM,52,100,12,Fog
35,1/12/2022,9:00 AM,52,100,10,Fog
36,1/12/2022,9:40 AM,52,100,10,Fog
37,1/12/2022,10:00 AM,52,100,9,Fog
38,1/12/2022,10:25 AM,54,100,10,Fog
39,1/12/2022,10:45 AM,54,100,13,Fog
40,1/12/2022,11:00 AM,55,100,12,Mostly Cloudy
41,1/12/2022,11:20 AM,55,100,13,Partly Cloudy
42,1/12/2022,12:00 PM,61,94,13,Fair
43,1/12/2022,1:00 PM,66,56,13,Fair
44,1/12/2022,2:00 PM,70,35,9,Fair
45,1/12/2022,3:00 PM,0,0,10,Fair
46,1/12/2022,4:00 PM,73,20,9,Fair
47,1/12/2022,5:00 PM,75,15,8,Fair
48,1/12/2022,6:00 PM,73,16,8,Fair
49,1/12/2022,7:00 PM,72,22,9,Fair
50,1/12/2022,8:00 PM,70,27,9,Fair
51,1/12/2022,9:00 PM,64,49,14,Fair
52,1/12/2022,1000 PM,61,63,12,Fair
53,1/12/2022,11:00 PM,59,77,13,Fair
54,1/16/2022,12:00 AM,63,14,21,Fair / Windy
55,1/16/2022,1:00 AM,63,13,18,Fair
56,1/16/2022,2:00 AM,61,15,18,Fair
57,1/16/2022,3:00 AM,61,14,18,Fair
58,1/16/2022,4:00 AM,59,16,18,Fair
59,1/16/2022,5:00 AM,57,17,14,Fair
60,1/16/2022,6:00 AM,55,18,18,Fair
61,1/16/2022,7:00 AM,55,20,18,Fair
62,1/16/2022,8:00 AM,55,23,25,Fair / Windy
63,1/16/2022,9:00 AM,54,24,25,Fair / Windy
64,1/16/2022,1000 AM,55,25,28,Fair / Windy
65,1/16/2022,11:00 AM,57,23,29,Fair / Windy
66,1/16/2022,11:25 AM,59,22,30,Sand / Windy
67,1/16/2022,11:45 AM,61,22,31,Sand / Windy
68,1/16/2022,12:00 PM,61,22,33,Sand / Windy
69,1/16/2022,12:40 PM,64,19,30,Sand / Windy
70,1/16/2022,1:00 PM,66,18,32,Sandstorm / Windy
71,1/16/2022,1:25 PM,68,18,32,Sand / Windy
72,1/16/2022,2:00 PM,68,17,32,Sandstorm / Windy
73,1/16/2022,3:00 PM,72,16,29,Sandstorm / Windy
74,1/16/2022,4:00 PM,73,14,25,Sand / Windy
75,1/16/2022,5:00 PM,73,12,26,Sand / Windy
76,1/16/2022,6:00 PM,73,12,25,Fair / Windy
77,1/16/2022,7:00 PM,72,13,21,Fair / Windy
78,1/16/2022,8:00 PM,72,13,16,Fair
79,1/16/2022,9:00 PM,70,15,16,Fair
80,1/16/2022,1000 PM,70,14,17,Fair
81,1/16/2022,11:00 PM,70,14,18,Fair
82,1/17/2022,12:00 AM,68,15,16,Fair
83,1/17/2022,1:00 AM,68,15,16,Fair
84,1/17/2022,2:00 AM,68,15,10,Fair
85,1/17/2022,3:00 AM,66,15,16,Fair
86,1/17/2022,4:00 AM,64,24,23,Fair / Windy
87,1/17/2022,5:00 AM,59,55,28,Fair / Windy
88,1/17/2022,6:00 AM,57,67,30,Fair / Windy
89,1/17/2022,7:00 AM,55,72,30,Fair / Windy
90,1/17/2022,8:00 AM,55,88,25,Fair / Windy
91,1/17/2022,9:00 AM,55,82,22,Fair / Windy
92,1/17/2022,1000 AM,57,72,26,Fair / Windy
93,1/17/2022,1010 AM,57,72,28,Fair / Windy
94,1/17/2022,11:00 AM,54,82,28,Fair / Windy
95,1/17/2022,12:00 PM,61,59,30,Sand / Windy
96,1/17/2022,1:00 PM,63,55,28,Sand / Windy
97,1/17/2022,1:10 PM,63,55,28,Sand / Windy
98,1/17/2022,1:48 PM,63,55,29,Sand / Windy
99,1/17/2022,2:00 PM,63,55,29,Sand / Windy
100,1/17/2022,2:20 PM,63,55,26,Fair / Windy
101,1/17/2022,3:00 PM,64,52,23,Fair / Windy
102,1/17/2022,4:00 PM,63,52,24,Light Rain / Windy
103,1/17/2022,5:00 PM,63,52,24,Fair / Windy
104,1/17/2022,6:00 PM,61,63,24,Fair / Windy
105,1/17/2022,6:19 PM,59,72,17,Rain
106,1/17/2022,6:48 PM,59,77,17,Fair
107,1/17/2022,7:00 PM,59,72,18,Fair
108,1/17/2022,8:00 PM,57,72,15,Fair
109,1/17/2022,9:00 PM,57,67,16,Fair
110,1/17/2022,1000 PM,57,63,16,Fair
111,1/17/2022,11:00 PM,57,59,18,Fair
112,1/18/2022,12:00 AM,57,59,15,Fair
113,1/18/2022,1:00 AM,57,59,16,Mostly Cloudy
114,1/18/2022,2:00 AM,57,55,16,Fair
115,1/18/2022,3:00 AM,55,58,9,Mostly Cloudy
