,date,time,temp,hum,wind,condition
0,1/102022,12:00 AM,68,100,10,Fair
1,1/102022,1:00 AM,68,100,9,Partly Cloudy
2,1/102022,2:00 AM,68,100,12,Fair
3,1/102022,3:00 AM,66,100,13,Partly Cloudy
4,1/102022,4:00 AM,66,100,12,Fair
5,1/102022,5:00 AM,66,100,12,Partly Cloudy
6,1/102022,6:00 AM,66,100,12,Partly Cloudy
7,1/102022,7:00 AM,64,100,10,Fair
8,1/102022,8:00 AM,64,100,10,Partly Cloudy
9,1/102022,9:00 AM,66,100,7,Fair
10,1/102022,10:00 AM,70,100,14,Partly Cloudy
11,1/102022,11:00 AM,73,94,17,Mostly Cloudy
12,1/102022,12:00 PM,75,78,18,Partly Cloudy
13,1/102022,12:30 PM,75,73,17,Sand
14,1/102022,1:00 PM,77,65,17,Sand
15,1/102022,2:00 PM,79,57,15,Widespread Dust
16,1/102022,3:00 PM,81,51,15,Widespread Dust
17,1/102022,4:00 PM,82,48,14,Widespread Dust
18,1/102022,5:00 PM,82,48,18,Widespread Dust
19,1/102022,6:00 PM,77,69,18,Fair
20,1/102022,7:00 PM,75,78,17,Fair
21,1/102022,8:00 PM,72,100,17,Mostly Cloudy
22,1/102022,9:00 PM,70,100,18,Partly Cloudy
23,1/102022,10:00 PM,70,100,16,Partly Cloudy
24,2/102022,12:00 AM,68,100,17,Partly Cloudy
25,2/102022,1:00 AM,68,100,16,Fair
26,2/102022,2:00 AM,66,100,16,Fair
27,2/102022,3:00 AM,66,100,13,Fair
28,2/102022,4:00 AM,66,100,7,Fair
29,2/102022,5:00 AM,64,100,10,Fair
30,2/102022,6:00 AM,64,100,6,Fair
31,2/102022,7:00 AM,64,100,9,Partly Cloudy
32,2/102022,8:00 AM,63,100,5,Fog
33,2/102022,9:00 AM,64,100,5,Fog
34,2/102022,10:00 AM,66,100,12,Mostly Cloudy
35,2/102022,11:00 AM,72,100,14,Partly Cloudy
36,2/102022,12:00 PM,77,78,12,Fair
37,2/102022,1:00 PM,82,48,10,Fair
38,2/102022,2:00 PM,88,31,9,Haze
39,2/102022,2:50 PM,90,26,7,Haze
