,date,time,temp,hum,wind,condition
0,1/22022,12:00 AM,73,10,12,Fair
1,1/22022,4:00 AM,70,9,22,Fair / Windy
2,1/22022,5:00 AM,70,9,21,Fair / Windy
3,1/22022,6:00 AM,68,11,20,Fair
4,1/22022,7:00 AM,68,11,22,Fair / Windy
5,1/22022,8:00 AM,68,10,21,Fair / Windy
6,1/22022,8:43 AM,68,11,30,Sand / Windy
7,1/22022,9:00 AM,68,10,30,Sand / Windy
8,1/22022,9:40 AM,68,10,26,Fair / Windy
9,1/22022,10:00 AM,68,10,23,Fair / Windy
10,1/22022,11:00 AM,68,9,25,Fair / Windy
11,1/22022,12:00 PM,70,9,23,Fair / Windy
12,1/22022,1:00 PM,75,7,21,Fair / Windy
13,1/22022,2:00 PM,0,0,23,Fair / Windy
14,1/22022,3:00 PM,79,6,20,Fair
15,1/22022,4:00 PM,82,6,15,Fair
16,1/22022,5:00 PM,82,6,12,Fair
17,1/22022,6:00 PM,82,6,10,Fair
18,1/22022,7:00 PM,81,6,5,Fair
19,1/22022,8:00 PM,77,8,1,Fair
20,1/22022,9:00 PM,75,11,3,Fair
21,1/22022,10:00 PM,75,10,5,Fair
22,1/22022,11:00 PM,72,16,7,Fair
23,2/22022,12:00 AM,70,27,7,Fair
24,2/22022,1:00 AM,70,35,7,Fair
25,2/22022,2:00 AM,70,33,9,Fair
26,2/22022,3:00 AM,70,17,14,Fair
27,2/22022,4:00 AM,72,11,16,Fair
28,2/22022,5:00 AM,73,11,14,Fair
29,2/22022,6:00 AM,70,14,16,Fair
30,2/22022,7:00 AM,72,12,12,Fair
31,2/22022,8:00 AM,70,12,12,Fair
32,2/22022,9:00 AM,68,13,16,Fair
33,2/22022,10:00 AM,70,14,18,Fair
34,2/22022,11:00 AM,73,14,18,Fair
35,2/22022,12:00 PM,77,14,20,Fair
36,2/22022,1:00 PM,84,15,23,Fair / Windy
37,2/22022,2:00 PM,88,13,23,Fair / Windy
38,2/22022,3:00 PM,90,11,23,Fair / Windy
39,2/22022,4:00 PM,91,10,18,Fair
40,2/22022,5:00 PM,91,10,16,Fair
41,2/22022,6:00 PM,91,10,14,Fair
42,2/22022,7:00 PM,90,10,12,Fair
43,2/22022,8:00 PM,86,12,6,Fair
44,2/22022,9:00 PM,82,13,6,Fair
45,2/22022,10:00 PM,81,15,7,Fair
46,2/22022,11:00 PM,79,17,6,Fair
47,3/22022,12:00 AM,73,47,7,Fair
48,3/22022,1:00 AM,73,41,5,Fair
49,3/22022,2:00 AM,73,31,5,Fair
50,3/22022,3:00 AM,73,25,7,Fair
51,3/22022,4:00 AM,73,20,10,Fair
52,3/22022,5:00 AM,75,17,12,Fair
53,3/22022,6:00 AM,75,17,16,Fair
54,3/22022,7:00 AM,75,21,10,Fair
55,3/22022,8:00 AM,75,15,15,Fair
56,3/22022,9:00 AM,73,16,14,Fair
57,3/22022,10:00 AM,73,15,14,Mostly Cloudy
58,3/22022,11:00 AM,73,14,18,Mostly Cloudy
59,3/22022,12:00 PM,73,15,16,Mostly Cloudy
60,3/22022,1:00 PM,75,12,21,Mostly Cloudy / Windy
61,3/22022,2:00 PM,77,11,23,Mostly Cloudy / Windy
62,3/22022,3:00 PM,82,8,10,Mostly Cloudy
63,3/22022,4:00 PM,86,8,16,Mostly Cloudy
64,3/22022,5:00 PM,86,8,16,Mostly Cloudy
65,3/22022,6:00 PM,86,8,8,Mostly Cloudy
66,3/22022,7:00 PM,86,8,9,Mostly Cloudy
67,3/22022,8:00 PM,84,8,16,Mostly Cloudy
68,3/22022,9:00 PM,81,9,16,Mostly Cloudy
69,3/22022,10:00 PM,79,9,14,Mostly Cloudy
70,3/22022,11:00 PM,77,9,12,Mostly Cloudy
71,4/22022,12:00 AM,73,11,6,Mostly Cloudy
72,4/22022,1:00 AM,73,12,5,Fair
73,4/22022,2:00 AM,72,13,9,Fair
74,4/22022,3:00 AM,72,13,5,Fair
75,4/22022,4:00 AM,72,13,5,Fair
76,4/22022,5:00 AM,68,17,3,Fair
77,4/22022,6:00 AM,0,0,84,Fair / Windy
78,4/22022,7:00 AM,66,19,9,Mostly Cloudy
79,4/22022,8:00 AM,68,18,14,Mostly Cloudy
80,4/22022,9:00 AM,66,19,9,Mostly Cloudy
81,4/22022,10:00 AM,66,21,8,Mostly Cloudy
82,4/22022,11:00 AM,68,20,15,Mostly Cloudy
83,4/22022,12:00 PM,72,16,17,Mostly Cloudy
84,4/22022,1:00 PM,73,14,16,Mostly Cloudy
85,4/22022,2:00 PM,77,12,18,Fair
86,4/22022,3:00 PM,79,10,16,Fair
87,4/22022,4:00 PM,81,10,14,Partly Cloudy
88,4/22022,5:00 PM,81,10,10,Mostly Cloudy
89,4/22022,6:00 PM,81,10,10,Mostly Cloudy
90,4/22022,7:00 PM,79,10,13,Mostly Cloudy
91,4/22022,8:00 PM,77,11,8,Mostly Cloudy
92,4/22022,9:00 PM,77,11,8,Fair
93,4/22022,10:00 PM,73,11,7,Fair
94,4/22022,11:00 PM,72,13,8,Fair
95,5/22022,12:00 AM,72,13,8,Fair
96,5/22022,1:00 AM,68,16,5,Fair
97,5/22022,2:00 AM,68,15,9,Fair
98,5/22022,3:00 AM,66,15,10,Fair
99,5/22022,4:00 AM,66,14,9,Fair
100,5/22022,5:00 AM,66,14,10,Fair
101,5/22022,6:00 AM,66,14,6,Fair
102,5/22022,7:00 AM,64,15,13,Fair
103,5/22022,8:00 AM,64,16,13,Fair
104,5/22022,9:00 AM,63,16,13,Partly Cloudy
105,5/22022,10:00 AM,66,18,14,Partly Cloudy
106,5/22022,11:00 AM,68,15,17,Fair
107,5/22022,12:00 PM,68,13,18,Fair
108,5/22022,1:00 PM,77,11,18,Fair
109,5/22022,2:00 PM,79,9,14,Fair
110,5/22022,3:00 PM,81,10,5,Fair
111,5/22022,4:00 PM,82,8,12,Fair
112,5/22022,5:00 PM,82,12,14,Fair
113,5/22022,6:00 PM,79,15,12,Fair
114,5/22022,7:00 PM,75,15,12,Fair
115,5/22022,8:00 PM,73,15,9,Fair
116,5/22022,9:00 PM,72,22,10,Fair
117,5/22022,10:00 PM,68,26,16,Fair
118,5/22022,11:00 PM,66,35,13,Fair
119,6/22022,12:00 AM,64,42,14,Fair
120,6/22022,1:00 AM,63,39,12,Fair
121,6/22022,2:00 AM,63,37,12,Fair
122,6/22022,3:00 AM,61,42,8,Fair
123,6/22022,4:00 AM,61,42,9,Fair
124,6/22022,5:00 AM,61,34,9,Fair
125,6/22022,6:00 AM,59,31,9,Fair
126,6/22022,7:00 AM,59,27,10,Fair
127,6/22022,8:00 AM,63,18,10,Fair
128,6/22022,9:00 AM,64,13,16,Fair
129,6/22022,10:00 AM,66,12,15,Fair
130,6/22022,11:00 AM,70,10,16,Fair
131,6/22022,12:00 PM,73,9,18,Fair
132,6/22022,1:00 PM,79,7,14,Fair
133,6/22022,2:00 PM,82,7,12,Fair
134,6/22022,3:00 PM,86,6,9,Fair
135,6/22022,4:00 PM,88,6,9,Fair
136,6/22022,5:00 PM,88,29,7,Fair
137,6/22022,6:00 PM,88,5,9,Fair
138,6/22022,7:00 PM,82,15,9,Sand
139,6/22022,7:27 PM,77,29,18,Sand
140,6/22022,8:00 PM,73,33,10,Sand
141,6/22022,8:35 PM,72,38,20,Fair
142,6/22022,9:00 PM,70,38,23,Fair / Windy
143,7/22022,12:00 AM,64,73,18,Fair
144,7/22022,1:00 AM,63,72,16,Fair
145,7/22022,2:00 AM,63,72,21,Fair / Windy
146,7/22022,3:00 AM,61,77,16,Fair
147,7/22022,4:00 AM,61,68,12,Fair
148,7/22022,5:00 AM,61,55,12,Fair
149,7/22022,6:00 AM,59,45,12,Fair
