ind,date,time,temp,hum,wind,condition
1473,10/1/2022,12:00 AM,68,100,10,Fair
1474,10/1/2022,1:00 AM,68,100,9,Partly Cloudy
1475,10/1/2022,2:00 AM,68,100,12,Fair
1476,10/1/2022,3:00 AM,66,100,13,Partly Cloudy
1477,10/1/2022,4:00 AM,66,100,12,Fair
1478,10/1/2022,5:00 AM,66,100,12,Partly Cloudy
1479,10/1/2022,6:00 AM,66,100,12,Partly Cloudy
1480,10/1/2022,7:00 AM,64,100,10,Fair
1481,10/1/2022,8:00 AM,64,100,10,Partly Cloudy
1482,10/1/2022,9:00 AM,66,100,7,Fair
1483,10/1/2022,10:00 AM,70,100,14,Partly Cloudy
1484,10/1/2022,11:00 AM,73,94,17,Mostly Cloudy
1485,10/1/2022,12:00 PM,75,78,18,Partly Cloudy
1486,10/1/2022,12:30 PM,75,73,17,Sand
1487,10/1/2022,1:00 PM,77,65,17,Sand
1488,10/1/2022,2:00 PM,79,57,15,Widespread Dust
1489,10/1/2022,3:00 PM,81,51,15,Widespread Dust
1490,10/1/2022,4:00 PM,82,48,14,Widespread Dust
1491,10/1/2022,5:00 PM,82,48,18,Widespread Dust
1492,10/1/2022,6:00 PM,77,69,18,Fair
1493,10/1/2022,7:00 PM,75,78,17,Fair
1494,10/1/2022,8:00 PM,72,100,17,Mostly Cloudy
1495,10/1/2022,9:00 PM,70,100,18,Partly Cloudy
1496,10/1/2022,10:00 PM,70,100,16,Partly Cloudy
1497,10/1/2022,11:00 PM,68,100,20,Partly Cloudy
1498,10/2/2022,12:00 AM,68,100,17,Partly Cloudy
1499,10/2/2022,1:00 AM,68,100,16,Fair
1500,10/2/2022,2:00 AM,66,100,16,Fair
1501,10/2/2022,3:00 AM,66,100,13,Fair
1502,10/2/2022,4:00 AM,66,100,7,Fair
1503,10/2/2022,5:00 AM,64,100,10,Fair
1504,10/2/2022,6:00 AM,64,100,6,Fair
1505,10/2/2022,7:00 AM,64,100,9,Partly Cloudy
1506,10/2/2022,8:00 AM,63,100,5,Fog
1507,10/2/2022,9:00 AM,64,100,5,Fog
1508,10/2/2022,10:00 AM,66,100,12,Mostly Cloudy
1509,10/2/2022,11:00 AM,72,100,14,Partly Cloudy
1510,10/2/2022,12:00 PM,77,78,12,Fair
1511,10/2/2022,1:00 PM,82,48,10,Fair
1512,10/2/2022,2:00 PM,88,31,9,Haze
1513,10/2/2022,2:50 PM,90,26,7,Haze
1514,10/2/2022,3:00 PM,91,24,6,Haze
1515,10/2/2022,3:20 PM,91,23,3,Haze
1516,10/2/2022,4:00 PM,91,21,7,Haze
1517,10/2/2022,5:00 PM,90,40,15,Fair
1518,10/2/2022,6:00 PM,86,43,18,Fair
1519,10/2/2022,7:00 PM,84,45,17,Fair
1520,10/2/2022,8:00 PM,81,54,17,Fair
1521,10/2/2022,9:00 PM,77,57,17,Fair
1522,10/2/2022,10:00 PM,75,65,20,Fair
1523,10/2/2022,11:00 PM,73,69,20,Fair
1524,10/3/2022,12:00 AM,73,65,20,Fair
1525,10/3/2022,1:00 AM,73,61,14,Fair
1526,10/3/2022,2:00 AM,73,50,13,Fair
1527,10/3/2022,3:00 AM,73,47,10,Fair
1528,10/3/2022,4:00 AM,73,47,7,Fair
1529,10/3/2022,5:00 AM,72,50,8,Partly Cloudy
1530,10/3/2022,6:00 AM,72,50,8,Partly Cloudy
1531,10/3/2022,7:00 AM,70,56,8,Partly Cloudy
1532,10/3/2022,8:00 AM,70,56,9,Partly Cloudy
1533,10/3/2022,9:00 AM,73,44,7,Haze
1534,10/3/2022,10:00 AM,79,34,7,Haze
1535,10/3/2022,11:00 AM,84,27,10,Haze
1536,10/3/2022,12:00 PM,90,21,5,Haze
1537,10/3/2022,1:00 PM,93,15,2,Haze
1538,10/3/2022,2:00 PM,95,15,3,Haze
1539,10/3/2022,2:30 PM,93,15,2,Haze
1540,10/3/2022,3:00 PM,99,18,6,Haze
1541,10/3/2022,4:00 PM,99,21,9,Haze
1542,10/3/2022,5:00 PM,93,23,13,Haze
1543,10/3/2022,6:00 PM,93,20,14,Haze
1544,10/3/2022,7:00 PM,88,29,13,Haze
1545,10/3/2022,8:00 PM,86,35,12,Haze
1546,10/3/2022,9:00 PM,82,51,14,Haze
1547,10/3/2022,10:00 PM,81,45,15,Haze
