,date,time,temp,hum,wind,condition
0,3/1/2022,12:00 AM,63,94,16,Partly Cloudy
1,3/1/2022,1:00 AM,63,88,17,Partly Cloudy
2,3/1/2022,2:00 AM,61,94,15,Partly Cloudy
3,3/1/2022,3:00 AM,61,100,14,Mostly Cloudy
4,3/1/2022,5:00 AM,63,100,16,Mostly Cloudy
5,3/1/2022,6:00 AM,63,100,17,Mostly Cloudy
6,3/1/2022,7:00 AM,61,100,16,Mostly Cloudy
7,3/1/2022,8:00 AM,63,0,16,Cloudy
8,3/1/2022,9:00 AM,63,100,16,Mostly Cloudy
9,3/1/2022,10:00 AM,64,94,13,Mostly Cloudy
10,3/1/2022,11:00 AM,64,94,23,Mostly Cloudy / Windy
11,3/1/2022,12:00 PM,68,83,22,Mostly Cloudy / Windy
12,3/1/2022,1:00 PM,68,78,21,Mostly Cloudy / Windy
13,3/1/2022,2:00 PM,70,73,18,Mostly Cloudy
14,3/1/2022,3:00 PM,72,60,22,Partly Cloudy / Windy
15,3/1/2022,4:00 PM,72,57,25,Fair / Windy
16,3/1/2022,5:00 PM,73,53,25,Fair / Windy
17,3/1/2022,6:00 PM,72,57,22,Fair / Windy
18,3/1/2022,7:00 PM,70,60,20,Fair
19,3/1/2022,8:00 PM,66,78,23,Fair / Windy
20,3/1/2022,9:00 PM,64,94,20,Partly Cloudy
21,3/1/2022,10:00 PM,63,100,18,Partly Cloudy
22,3/1/2022,11:00 PM,63,100,17,Partly Cloudy
23,3/3/2022,12:00 AM,59,100,13,Fair
24,3/3/2022,1:00 AM,59,100,13,Partly Cloudy
25,3/3/2022,2:00 AM,59,100,13,Fair
26,3/3/2022,3:00 AM,59,100,16,Fair
27,3/3/2022,4:00 AM,59,94,14,Fair
28,3/3/2022,5:00 AM,57,100,14,Fair
29,3/3/2022,6:00 AM,57,100,13,Fair
30,3/3/2022,7:00 AM,57,100,10,Fair
31,3/3/2022,8:00 AM,57,100,9,Fair
32,3/3/2022,9:00 AM,57,100,9,Fair
33,3/3/2022,10:00 AM,63,88,14,Fair
34,3/3/2022,11:00 AM,66,73,21,Fair / Windy
35,3/3/2022,12:00 PM,70,60,21,Fair / Windy
36,3/3/2022,1:00 PM,72,50,18,Fair
37,3/3/2022,2:00 PM,73,44,15,Partly Cloudy
38,3/3/2022,3:00 PM,75,41,17,Partly Cloudy
39,3/3/2022,4:00 PM,73,44,16,Fair
40,3/3/2022,5:00 PM,72,50,25,Fair / Windy
41,3/3/2022,6:00 PM,70,53,22,Fair / Windy
42,3/3/2022,7:00 PM,68,56,23,Fair / Windy
43,3/3/2022,8:00 PM,64,68,17,Fair
44,3/3/2022,9:00 PM,63,77,14,Partly Cloudy
45,3/3/2022,10:00 PM,63,77,14,Mostly Cloudy
46,3/3/2022,11:00 PM,61,88,14,Mostly Cloudy
47,3/6/2022,12:00 AM,61,72,32,Partly Cloudy / Windy
48,3/6/2022,1:00 AM,61,72,23,Cloudy / Windy
49,3/6/2022,2:00 AM,61,72,18,Mostly Cloudy
50,3/6/2022,3:00 AM,61,72,18,Mostly Cloudy
51,3/6/2022,4:00 AM,61,68,23,Cloudy / Windy
