,date,time,temp,hum,wind,condition
0,1/82022,12:00 AM,73,100,23,Mostly Cloudy / Windy
1,1/82022,1:00 AM,72,100,23,Mostly Cloudy / Windy
2,1/82022,2:00 AM,72,100,23,Mostly Cloudy / Windy
3,1/82022,3:00 AM,72,100,21,Mostly Cloudy / Windy
4,1/82022,5:00 AM,72,100,17,Cloudy
5,1/82022,6:00 AM,72,100,17,Cloudy
6,1/82022,7:00 AM,72,100,12,Cloudy
7,1/82022,8:00 AM,70,100,16,Cloudy
8,1/82022,9:00 AM,72,100,17,Cloudy
9,1/82022,10:00 AM,73,100,22,Cloudy / Windy
10,1/82022,11:00 AM,75,100,21,Mostly Cloudy / Windy
11,1/82022,12:00 PM,79,94,22,Mostly Cloudy / Windy
12,1/82022,1:00 PM,82,79,18,Fair
13,1/82022,2:00 PM,84,70,25,Fair / Windy
14,1/82022,3:00 PM,86,62,22,Fair / Windy
15,1/82022,4:00 PM,86,62,25,Fair / Windy
16,1/82022,5:00 PM,86,58,23,Fair / Windy
17,1/82022,6:00 PM,84,62,21,Fair / Windy
18,1/82022,7:00 PM,81,65,22,Fair / Windy
19,1/82022,8:00 PM,77,78,21,Partly Cloudy / Windy
20,1/82022,9:00 PM,75,100,22,Cloudy / Windy
21,1/82022,10:00 PM,73,100,21,Mostly Cloudy / Windy
22,1/82022,11:00 PM,73,100,24,Mostly Cloudy / Windy
23,2/82022,12:00 AM,73,100,21,Mostly Cloudy / Windy
24,2/82022,1:00 AM,73,100,25,Mostly Cloudy / Windy
25,2/82022,2:00 AM,73,100,18,Mostly Cloudy
26,2/82022,3:00 AM,73,100,20,Mostly Cloudy
27,2/82022,4:00 AM,72,100,20,Mostly Cloudy
28,2/82022,5:00 AM,73,100,14,Mostly Cloudy
29,2/82022,6:00 AM,0,0,15,Mostly Cloudy
30,2/82022,7:00 AM,72,100,20,Mostly Cloudy
31,2/82022,8:00 AM,72,100,22,Cloudy / Windy
32,2/82022,9:00 AM,72,100,22,Cloudy / Windy
33,2/82022,10:00 AM,73,100,22,Cloudy / Windy
34,2/82022,11:00 AM,77,100,20,Mostly Cloudy
35,2/82022,12:00 PM,82,89,24,Fair / Windy
36,2/82022,1:00 PM,84,79,21,Fair / Windy
37,2/82022,2:00 PM,90,55,20,Fair
38,2/82022,3:00 PM,93,46,22,Fair / Windy
39,2/82022,4:00 PM,90,49,22,Fair / Windy
40,2/82022,5:00 PM,88,58,25,Fair / Windy
41,2/82022,6:00 PM,86,66,25,Fair / Windy
42,2/82022,7:00 PM,81,79,26,Fair / Windy
43,2/82022,8:00 PM,77,100,20,Partly Cloudy
44,2/82022,9:00 PM,75,100,28,Mostly Cloudy / Windy
45,2/82022,9:15 PM,73,100,29,Fog / Windy
46,2/82022,10:00 PM,73,100,31,Fog / Windy
47,3/82022,12:00 AM,73,100,31,Fog / Windy
48,3/82022,1:00 AM,72,100,29,Fog / Windy
49,3/82022,2:00 AM,73,100,30,Fog / Windy
50,3/82022,3:00 AM,72,100,24,Fog / Windy
51,3/82022,4:00 AM,72,100,28,Fog / Windy
52,3/82022,5:00 AM,72,100,24,Fog / Windy
53,3/82022,6:00 AM,72,100,26,Fog / Windy
54,3/82022,7:00 AM,72,100,13,Fog
55,3/82022,8:00 AM,72,100,23,Mostly Cloudy / Windy
56,3/82022,9:00 AM,73,100,15,Mostly Cloudy
57,3/82022,10:00 AM,75,100,22,Mostly Cloudy / Windy
58,3/82022,11:00 AM,79,94,20,Partly Cloudy
59,3/82022,12:00 PM,82,79,28,Fair / Windy
60,3/82022,1:00 PM,86,66,25,Fair / Windy
61,3/82022,2:00 PM,88,55,22,Fair / Windy
62,3/82022,3:00 PM,91,46,22,Fair / Windy
63,3/82022,4:00 PM,91,43,30,Fair / Windy
64,3/82022,5:00 PM,90,43,30,Fair / Windy
65,3/82022,6:00 PM,88,46,31,Sand / Windy
66,3/82022,7:00 PM,84,58,33,Sand / Windy
67,3/82022,7:22 PM,81,70,33,Sand / Windy
68,3/82022,7:32 PM,81,70,33,Sand / Windy
69,3/82022,8:00 PM,79,78,35,Sand / Windy
70,3/82022,8:45 PM,75,89,29,Sand / Windy
71,4/82022,12:00 AM,72,100,32,Sand / Windy
72,4/82022,1:00 AM,72,100,32,Mostly Cloudy / Windy
73,4/82022,2:00 AM,72,100,29,Mostly Cloudy / Windy
74,4/82022,3:00 AM,70,100,31,Partly Cloudy / Windy
75,4/82022,4:00 AM,70,100,31,Partly Cloudy / Windy
76,4/82022,5:00 AM,70,100,21,Mostly Cloudy / Windy
77,4/82022,6:00 AM,70,100,22,Cloudy / Windy
78,4/82022,7:00 AM,70,100,18,Cloudy
79,4/82022,8:00 AM,70,100,24,Mostly Cloudy / Windy
80,4/82022,9:00 AM,72,100,31,Mostly Cloudy / Windy
81,4/82022,9:42 AM,75,100,30,Partly Cloudy / Windy
82,4/82022,10:00 AM,73,100,23,Sand / Windy
83,4/82022,10:33 AM,75,100,23,Partly Cloudy / Windy
84,4/82022,11:00 AM,77,94,21,Partly Cloudy / Windy
85,4/82022,12:00 PM,81,79,25,Partly Cloudy / Windy
86,4/82022,1:00 PM,84,58,23,Fair / Windy
87,4/82022,2:00 PM,86,51,26,Sand / Windy
88,4/82022,3:00 PM,88,46,28,Sand / Windy
89,4/82022,4:00 PM,88,46,30,Sand / Windy
90,4/82022,5:00 PM,88,46,30,Sand / Windy
91,4/82022,6:00 PM,82,58,31,Sand / Windy
92,4/82022,7:00 PM,81,61,33,Sand / Windy
93,4/82022,8:00 PM,75,69,29,Haze / Windy
94,4/82022,9:00 PM,73,88,29,Sand / Windy
95,5/82022,12:00 AM,72,100,26,Mostly Cloudy / Windy
96,5/82022,1:00 AM,0,0,23,Mostly Cloudy / Windy
97,5/82022,2:00 AM,0,0,28,Mostly Cloudy / Windy
98,5/82022,3:00 AM,70,100,29,Mostly Cloudy / Windy
99,5/82022,4:00 AM,70,100,28,Mostly Cloudy / Windy
100,5/82022,5:00 AM,70,100,24,Mostly Cloudy / Windy
101,5/82022,6:00 AM,70,100,24,Mostly Cloudy / Windy
102,5/82022,7:00 AM,70,100,18,Cloudy
103,5/82022,8:00 AM,70,100,18,Cloudy
104,5/82022,9:00 AM,72,100,24,Mostly Cloudy / Windy
105,5/82022,10:00 AM,73,100,24,Mostly Cloudy / Windy
106,5/82022,11:00 AM,77,89,22,Fair / Windy
107,5/82022,12:00 PM,81,74,24,Fair / Windy
108,5/82022,1:00 PM,84,55,28,Haze / Windy
109,5/82022,2:00 PM,88,46,13,Haze
110,5/82022,3:00 PM,88,46,24,Haze / Windy
111,5/82022,4:00 PM,88,46,22,Haze / Windy
112,5/82022,5:00 PM,90,43,26,Haze / Windy
113,5/82022,6:00 PM,86,45,28,Haze / Windy
114,5/82022,7:00 PM,82,54,29,Haze / Windy
115,5/82022,8:00 PM,77,74,36,Haze / Windy
116,5/82022,9:00 PM,75,89,25,Fog / Windy
117,5/82022,10:00 PM,73,100,20,Partly Cloudy
118,5/82022,11:00 PM,72,100,25,Mostly Cloudy / Windy
119,6/82022,12:00 AM,72,100,21,Mostly Cloudy / Windy
120,6/82022,1:00 AM,72,100,20,Mostly Cloudy
121,6/82022,2:00 AM,72,100,25,Fair / Windy
122,6/82022,3:00 AM,72,100,24,Partly Cloudy / Windy
123,6/82022,4:00 AM,70,100,18,Partly Cloudy
124,6/82022,5:00 AM,70,100,23,Fair / Windy
125,6/82022,6:00 AM,70,100,25,Mostly Cloudy / Windy
126,6/82022,7:00 AM,70,100,23,Mostly Cloudy / Windy
127,6/82022,8:00 AM,70,100,18,Fog
128,6/82022,9:00 AM,72,100,24,Mostly Cloudy / Windy
129,6/82022,10:00 AM,73,100,23,Mostly Cloudy / Windy
130,6/82022,11:00 AM,77,94,23,Fair / Windy
131,6/82022,12:00 PM,81,79,23,Fair / Windy
132,6/82022,1:00 PM,86,55,22,Fair / Windy
133,6/82022,2:00 PM,88,49,22,Fair / Windy
134,6/82022,3:00 PM,90,46,24,Fair / Windy
135,6/82022,4:00 PM,90,46,23,Fair / Windy
136,6/82022,5:00 PM,90,43,22,Fair / Windy
137,6/82022,6:00 PM,86,48,25,Fair / Windy
138,6/82022,7:00 PM,82,54,26,Fair / Windy
139,6/82022,8:00 PM,79,69,30,Fair / Windy
140,6/82022,10:00 PM,72,100,20,Fair
141,6/82022,11:00 PM,72,100,20,Mostly Cloudy
142,7/82022,12:00 AM,72,100,21,Mostly Cloudy / Windy
143,7/82022,1:00 AM,72,100,15,Partly Cloudy
144,7/82022,2:00 AM,70,100,31,Partly Cloudy / Windy
145,7/82022,3:00 AM,70,100,29,Fair / Windy
146,7/82022,4:00 AM,68,100,28,Fair / Windy
147,7/82022,5:00 AM,68,100,28,Fair / Windy
148,7/82022,6:00 AM,68,100,28,Mostly Cloudy / Windy
149,7/82022,7:00 AM,68,100,17,Fair
150,7/82022,8:00 AM,68,100,24,Mostly Cloudy / Windy
151,7/82022,9:00 AM,70,100,23,Mostly Cloudy / Windy
152,7/82022,10:00 AM,73,100,21,Mostly Cloudy / Windy
153,7/82022,11:00 AM,75,89,20,Fair
154,7/82022,12:00 PM,81,61,21,Fair / Windy
155,7/82022,1:00 PM,84,48,22,Partly Cloudy / Windy
156,7/82022,2:00 PM,88,40,22,Fair / Windy
157,7/82022,3:00 PM,90,38,23,Fair / Windy
158,7/82022,4:00 PM,91,34,25,Fair / Windy
159,7/82022,5:00 PM,90,36,31,Fair / Windy
160,7/82022,6:00 PM,88,40,30,Fair / Windy
161,7/82022,7:00 PM,82,51,29,Fair / Windy
162,7/82022,7:50 PM,79,61,30,Sand / Windy
163,7/82022,8:00 PM,79,57,29,Sand / Windy
164,7/82022,9:00 PM,73,88,29,Sand / Windy
